author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender,topicality,max,count,median
Q123078,1958-08-01T00:00:00Z,,Have Space Suit—Will Travel,Robert A. Heinlein,Q1213656,1959,1,0,0,52.0,United States,male,0.22108025208670393,,,
Q123078,1959-11-05T00:00:00Z,2534973.0,Starship Troopers,Robert A. Heinlein,Q492207,1960,0,1,1,53.0,United States,male,0.232305227929506,,,
Q123078,1961-06-01T00:00:00Z,908211.0,Stranger in a Strange Land,Robert A. Heinlein,Q929821,1962,1,1,1,55.0,United States,male,0.4284899947640536,,,
Q123078,1966-01-01T00:00:00Z,1048525.0,The Moon Is a Harsh Mistress,Robert A. Heinlein,Q1410482,1966,2,0,2,59.0,United States,male,-0.352751144958078,,,
Q123078,1973-06-01T00:00:00Z,75443.0,Time Enough for Love,Robert A. Heinlein,Q2274025,1974,2,0,5,67.0,United States,male,0.6199503104703643,,,
Q123078,1980-07-12T00:00:00Z,1077659.0,The Number of the Beast,Robert A. Heinlein,Q2703133,1981,1,0,8,74.0,United States,male,0.7665298256817611,,,
Q123078,1982-04-01T00:00:00Z,,Friday,Robert A. Heinlein,Q1641639,1983,3,0,9,76.0,United States,male,0.4589786685210227,13.0,10.0,12.0
Q123078,1984-09-01T00:00:00Z,924656.0,Job: A Comedy of Justice,Robert A. Heinlein,Q1010653,1985,2,0,12,78.0,United States,male,0.6241705814872756,14.0,11.0,9.0
Q123078,1985-11-01T00:00:00Z,2270807.0,The Cat Who Walks Through Walls,Robert A. Heinlein,Q3221113,1986,1,0,14,79.0,United States,male,0.7325766314687756,14.0,7.0,11.0
Q123078,1987-07-01T00:00:00Z,,To Sail Beyond the Sunset,Robert A. Heinlein,Q2870228,1988,1,0,15,81.0,United States,male,0.5808415077615612,15.0,4.0,13.5
Q123078,1987-07-01T00:00:00Z,,To Sail Beyond the Sunset,Robert A. Heinlein,Q2870228,1988,1,0,15,81.0,United States,male,0.5808415077615612,12.0,1.0,12.0
Q123078,2003-11-28T00:00:00Z,,"For Us, the Living",Robert A. Heinlein,Q2678988,2005,1,0,17,98.0,United States,male,-0.6875312103496405,,,
Q123078,,,Glory Road,Robert A. Heinlein,Q2538455,1964,1,0,1,57.0,United States,male,0.518803162365002,,,
Q1284085,1964-01-01T00:00:00Z,,Davy,Edgar Pangborn,Q3019177,1965,1,0,0,56.0,United States,male,-0.2177290968894692,,,
Q1292432,1977-04-01T00:00:00Z,,Cirque,Terry Carr,Q122452524,1978,2,0,3,41.0,United States,male,0.3485114584052639,,,
Q130779,1984-03-01T00:00:00Z,,The Wild Shore,Kim Stanley Robinson,Q21558225,1985,2,0,10,33.0,United States,male,-0.5437034217057063,,,
Q130779,1984-10-01T00:00:00Z,1963545.0,Icehenge,Kim Stanley Robinson,Q3233818,1985,1,0,10,33.0,United States,male,0.6233322096552034,,,
Q130779,1985-09-01T00:00:00Z,,The Memory of Whiteness,Kim Stanley Robinson,Q7750979,1986,1,0,18,34.0,United States,male,0.6633829273264518,,,
Q130779,1988-02-01T00:00:00Z,,The Gold Coast,Kim Stanley Robinson,Q80565519,1989,2,0,32,37.0,United States,male,-0.5811215110180876,,,
Q130779,1990-09-01T00:00:00Z,2249131.0,Pacific Edge,Kim Stanley Robinson,Q27976114,1991,0,1,40,39.0,United States,male,0.4940202266729814,,,
Q130779,1992-09-01T00:00:00Z,40712.0,Red Mars,Kim Stanley Robinson,Q3294969,1993,2,1,46,41.0,United States,male,-0.5112411020951706,,,
Q130779,1993-10-01T00:00:00Z,69059.0,Green Mars,Kim Stanley Robinson,Q3294970,1994,1,2,49,42.0,United States,male,0.9011991651799546,,,
Q130779,1996-06-01T00:00:00Z,40711.0,Blue Mars,Kim Stanley Robinson,Q3294967,1997,1,2,51,45.0,United States,male,-0.4854584045050677,,,
Q130779,1997-01-01T00:00:00Z,,Antarctica,Kim Stanley Robinson,Q3459064,1998,1,0,51,46.0,United States,male,-0.7677563110753456,,,
Q130779,2002-01-01T00:00:00Z,,The Years of Rice and Salt,Kim Stanley Robinson,Q963586,2003,1,1,57,51.0,United States,male,-0.5632616913132835,,,
Q130779,2004-01-01T00:00:00Z,,Forty Signs of Rain,Kim Stanley Robinson,Q5472993,2005,1,0,59,53.0,United States,male,0.9673724191626174,,,
Q130779,2005-08-31T00:00:00Z,,Fifty Degrees Below,Kim Stanley Robinson,Q5447634,2006,1,0,60,54.0,United States,male,-0.9855122970525249,,,
Q130779,2009-08-03T00:00:00Z,,Galileo's Dream,Kim Stanley Robinson,Q15987819,2010,2,0,61,58.0,United States,male,0.170845153840952,,,
Q130779,2012-01-01T00:00:00Z,16785236.0,2312,Kim Stanley Robinson,Q4631472,2013,3,1,64,61.0,United States,male,0.22160378235026784,,,
Q130779,2013-09-03T00:00:00Z,,Shaman,Kim Stanley Robinson,Q19895754,2014,2,0,66,62.0,United States,male,0.2936114079971882,,,
Q130779,2015-07-07T00:00:00Z,,Aurora,Kim Stanley Robinson,Q20856830,2016,2,0,67,64.0,United States,male,-0.20979146946079172,,,
Q130779,2017-03-14T00:00:00Z,,New York 2140,Kim Stanley Robinson,Q29832584,2018,3,0,68,66.0,United States,male,0.12154990452981178,,,
Q131350995,2005-03-01T00:00:00Z,,Tumbling After,Paul Witcover,Q131381618,2006,1,0,2,48.0,Switzerland,male,1.076841528482968,,,
Q131437170,2010-12-01T00:00:00Z,,Yarn,Jon Armstrong,Q131382149,2011,2,0,1,,United States,male,-0.1929015299720363,,,
Q1346126,1980-07-01T00:00:00Z,,City Come A-Walkin',John Shirley,Q20084641,1981,1,0,0,28.0,United States,male,0.7499542323290839,,,
