isbn,work_qid
9780091952785,Q43480368
9780399128431,Q516848
0399128433,Q516848
9780385603423,Q595128
0385603428,Q595128
9780802116857,Q5577739
080211685X,Q5577739
1250782953,Q111442660
9781250782953,Q111442660
9780670348329,Q1212160
0670348325,Q1212160
9781473232822,Q119691760
9780151364589,Q3686127
0151364583,Q3686127
9780765323149,Q5636343
9780765318534,Q5636343
0765318539,Q5636343
9780345023063,Q5641738
0345023064,Q5641738
9780765316219,Q15035002
9781472112996,Q15035002
9781841496948,Q5643614
9780441014989,Q5643614
0441014984,Q5643614
9781250313225,Q100773938
9781408855683,Q46751
9780879977627,Q1760824
0879977620,Q1760824
9780553093933,Q5695215
0553093932,Q5695215
0345481283,Q2335394
9780345481283,Q2335394
9780575082373,Q3736382
9780575077171,Q3736382
0575082372,Q3736382
0575077174,Q3736382
0345416619,Q2468406
9780345416612,Q2468406
9780374173548,Q107056141
9780008299323,Q107056141
9780879973148,Q5944644
0879973145,Q5944644
0380978938,Q2725656
9780380978939,Q2725656
9780575081642,Q6014063
9780575081628,Q6014063
9780553577778,Q4863413
0553577778,Q4863413
1841499390,Q15035527
9781841499406,Q15035527
9781841499390,Q15035527
9780886776879,Q27765618
0886776872,Q27765618
9781447247593,Q108907333
9780345464026,Q1748402
9780330492522,Q1748402
0345464028,Q1748402
0330492527,Q1748402
0441011594,Q2870553
9780441011599,Q2870553
0735269939,Q109255097
0735269955,Q109255097
9780735269934,Q109255097
9780735269958,Q109255097
0877959528,Q3233629
9780877959526,Q3233629
0441374697,Q2077422
9780441374694,Q2077422
9780670813025,Q602288
0670813028,Q602288
0316440884,Q65065481
9780316440882,Q65065481
9780345313577,Q1010653
0345313577,Q1010653
9780765356154,Q1474920
9780747580690,Q1474920
9780747570554,Q1474920
0765356155,Q1474920
0747580693,Q1474920
0747570558,Q1474920
9780394588162,Q756866
0394588169,Q756866
9781843431107,Q579744
9780765303554,Q546785
0765303558,Q546785
0593396561,Q105704813
0593311299,Q105704813
9780593396568,Q105704813
9780593311295,Q105704813
9780671878771,Q594567
9780671017835,Q594567
0671878778,Q594567
0671017837,Q594567
9780380728466,Q610680
9780688107321,Q610680
068810732X,Q610680
9781841493442,Q6510209
9781841493435,Q6510209
1841493449,Q6510209
1841493430,Q6510209
9781035007301,Q114291824
9798985663204,Q114291824
9798985663211,Q114291824
9780316129084,Q6535598
0316129089,Q6535598
9780434009206,Q721
9780330508575,Q721
9780330267380,Q721
0330267388,Q721
9780765342119,Q6549446
0765342111,Q6549446
9780446526685,Q6555310
0446526681,Q6555310
9780743289412,Q957123
0743289412,Q957123
9780007288427,Q1865620
9780765319852,Q1865620
9780060937935,Q2906934
9780061120053,Q2906934
9780553265866,Q2906934
9780553012668,Q2906934
0060937939,Q2906934
0061120057,Q2906934
0553265865,Q2906934
0553012665,Q2906934
0553587420,Q44466585
9780553587425,Q44466585
9781841490595,Q884010
9781857239812,Q884010
1841490598,Q884010
1857239814,Q884010
9780870541636,Q6679480
0870541633,Q6679480
9780743408257,Q28966242
074340825X,Q28966242
9781857988208,Q734976
9780839824992,Q734976
0839824998,Q734976
9780553584479,Q44414884
9781590200155,Q6690221
1590200152,Q6690221
9780449235997,Q471741
9780872234871,Q471741
0872234878,Q471741
9780380002092,Q6725637
0380002094,Q6725637
9780765320537,Q44286620
9780765317087,Q6736735
0765317087,Q6736735
0385611013,Q2469019
9780385611015,Q2469019
0394486765,Q2377008
9780394486765,Q2377008
0765308843,Q3207044
9780765308849,Q3207044
9780312942953,Q3207044
0312868014,Q3223347
9780312868017,Q3223347
9780385249683,Q6780592
0385249683,Q6780592
9780060882310,Q6787788
006088231X,Q6787788
9781841494180,Q684818
9781841494173,Q684818
0671877437,Q3305528
9780671877439,Q3305528
0446675601,Q15035019
9780446675604,Q15035019
9780425062500,Q3314300
0425062503,Q3314300
9780671722104,Q2884527
9780553052503,Q663215
0345298748,Q3208081
9780345298744,Q3208081
9780879979454,Q6980071
9781936932627,Q6980071
0879979453,Q6980071
9780356500997,Q18391798
9780425256770,Q18391798
125024403X,Q122238085
9781250244031,Q122238085
9780441007462,Q662029
9780765344229,Q7020012
9780765305039,Q7020012
076534422X,Q7020012
0765305038,Q7020012
9780671449735,Q964451
0671449737,Q964451
9781250854117,Q112787692
9780345291417,Q7050019
0345291417,Q7050019
9781473211919,Q3345309
9780441012480,Q7077188
0441012485,Q7077188
9780765309402,Q1339232
0765309408,Q1339232
0380978946,Q2525080
9780380978946,Q2525080
9780441010462,Q5120959
0441010466,Q5120959
9781930235328,Q1660753
9780441626830,Q1660753
0441626831,Q1660753
0575025476,Q3505071
9780575025479,Q3505071
0575090472,Q16258116
9780575090477,Q16258116
9780575090453,Q16258116
9780671878719,Q7091899
0671878719,Q7091899
9780688052843,Q7094153
0688052843,Q7094153
9780312852061,Q7100063
0312852061,Q7100063
9780765311313,Q7103952
0765311313,Q7103952
9780380979028,Q942972
0380979020,Q942972
9780553385762,Q7127548
9780345501165,Q3893138
9780553111248,Q3367818
0553111248,Q3367818
9780441653034,Q3224465
0441653030,Q3224465
0399149864,Q2295976
9780425192931,Q2295976
9780399149863,Q2295976
9780333781722,Q1143215
9780345459404,Q1143215
0333781724,Q1143215
0345459407,Q1143215
9781931520072,Q7167954
1931520070,Q7167954
9781786699619,Q105476518
9780575082076,Q2364488
9780385182447,Q742226
0385182449,Q742226
163557563X,Q99434216
1526622424,Q99434216
9781526622426,Q99434216
9781635575637,Q99434216
9780698404328,Q85793524
9780425282397,Q85793524
9780441012022,Q7209119
0441012027,Q7209119
9780575090507,Q19263901
9780593159972,Q783533
0593159977,Q783533
0312931417,Q3089022
9780312931414,Q3089022
9780765343550,Q7246870
076534355X,Q7246870
0593395565,Q106852836
0593135229,Q106852836
0593135202,Q106852836
9780593135204,Q106852836
9780593395561,Q106852836
9780593135228,Q106852836
0345234863,Q2391947
9780345234865,Q2391947
9780356506968,Q43336631
9780356506951,Q43336631
9780316388672,Q43336631
9781473230958,Q120122688
9781473230941,Q120122688
9780575074392,Q3063278
9780575074385,Q3063278
0575074388,Q3063278
0446514004,Q3212201
9780446514002,Q3212201
9780060593087,Q4398917
9780380977420,Q4398917
0060593083,Q4398917
0380977427,Q4398917
9780765335296,Q43325355
9780394469010,Q737910
0394469011,Q737910
9780812536362,Q471679
9780312856847,Q471679
0812536363,Q471679
0575055774,Q2283166
9780575055773,Q2283166
9780871135773,Q7291925
0871135779,Q7291925
9780091952822,Q43480748
1529135354,Q3906523
030797006X,Q3906523
1615876146,Q3906523
9781448149582,Q3906523
9780804190145,Q3906523
9781784754792,Q3906523
9780525574347,Q3906523
9780307913159,Q3906523
9781846059377,Q3906523
9780307913142,Q3906523
9780553459388,Q3906523
9780307887450,Q3906523
9781524763282,Q3906523
9780804190138,Q3906523
9780099560432,Q3906523
9780307887443,Q3906523
9780307887436,Q3906523
0606264124,Q3906523
0307913163,Q3906523
1446493830,Q3906523
1448149584,Q3906523
0804190143,Q3906523
178475479X,Q3906523
0525574344,Q3906523
0307913155,Q3906523
1846059372,Q3906523
0307913147,Q3906523
0553459384,Q3906523
0307887456,Q3906523
1524763284,Q3906523
0804190135,Q3906523
0099560437,Q3906523
0307887448,Q3906523
030788743X,Q3906523
9781804229910,Q3906523
1804229911,Q3906523
9781529135350,Q3906523
9780307970060,Q3906523
9781615876143,Q3906523
9780606264129,Q3906523
9780307913166,Q3906523
9781787462809,Q3906523
9781446493830,Q3906523
9781473647640,Q62698506
0553092049,Q3294969
0246138815,Q3294969
9780553092042,Q3294969
9780246138811,Q3294969
1250865840,Q130036358
9781250865847,Q130036358
0575068795,Q3202275
9780575068797,Q3202275
0929480481,Q3424461
9780929480480,Q3424461
0671877186,Q3212608
9780671877187,Q3212608
9780151768356,Q741222
9780575015876,Q741222
057501587X,Q741222
9780575068759,Q1759977
0575068752,Q1759977
9780224018517,Q7332458
0224018515,Q7332458
9780446515146,Q7334502
0446515140,Q7334502
9780575077027,Q1505793
9780345020468,Q1505793
0345020464,Q1505793
9780345285300,Q7339610
0345285301,Q7339610
9780385190923,Q377230
0385190921,Q377230
9781841497730,Q7378920
9780441020348,Q7378920
9780224016063,Q4354234
0224016067,Q4354234
0446611522,Q64337559
9780446611527,Q64337559
9780743450096,Q28946151
0743450094,Q28946151
9780812551129,Q764902
9781841495675,Q7426767
9780441015948,Q7426767
0441015948,Q7426767
9780061050930,Q137536
9780061073441,Q137536
9780575070684,Q137536
0061050938,Q137536
006107344X,Q137536
0575070684,Q137536
9780877956457,Q1928866
0877956456,Q1928866
9780441013296,Q729783
0441013295,Q729783
9780008300777,Q85624939
9780765378026,Q29649673
0765300176,Q2915295
9780765300171,Q2915295
0312876513,Q2915310
9780312876517,Q2915310
9780879976590,Q3203368
0879976594,Q3203368
9781529043396,Q109975974
9780441010721,Q3006304
0441010725,Q3006304
9780385333849,Q265954
9780385312080,Q265954
0385333846,Q265954
0385312083,Q265954
9780345501134,Q7539916
0345391659,Q2268557
9780345391650,Q2268557
9780553088533,Q768389
055308853X,Q768389
9781250834980,Q123300220
0803777116,Q3234507
9780803777118,Q3234507
9781481497497,Q64485242
0312937385,Q2291295
9780312937386,Q2291295
076534825X,Q2301398
0765309386,Q2301398
9780765309389,Q2301398
9781591023098,Q6574423
1591023092,Q6574423
1250799058,Q126893369
9781250799050,Q126893369
9780819567147,Q7602353
9780553050530,Q7602353
0553050532,Q7602353
9780441783588,Q492207
9780450025761,Q492207
0450025764,Q492207
0765389223,Q123112174
9780765389220,Q123112174
0553545582,Q20645702
1489468773,Q20645702
1447269004,Q20645702
0553397982,Q20645702
0385353308,Q20645702
1594138826,Q20645702
1529083419,Q20645702
1447268989,Q20645702
1447268962,Q20645702
0553397974,Q20645702
1443434868,Q20645702
0553398075,Q20645702
0385353316,Q20645702
1447268970,Q20645702
0593468074,Q20645702
0804172447,Q20645702
9781596068551,Q20645702
9783060357888,Q20645702
9781743532324,Q20645702
9780553545586,Q20645702
9781489468772,Q20645702
9781447269007,Q20645702
9780553397987,Q20645702
9780385353304,Q20645702
9781594138829,Q20645702
9781529083415,Q20645702
9781509881789,Q20645702
9781447268987,Q20645702
9781447268963,Q20645702
9780553397970,Q20645702
9781443434867,Q20645702
9780553398076,Q20645702
9780385353311,Q20645702
9781447268970,Q20645702
9780593468074,Q20645702
9780804172448,Q20645702
0688104517,Q3497490
9780765327918,Q3497490
9780688104511,Q3497490
9781984802781,Q929821
9780399120954,Q7621583
0399120955,Q7621583
9781841498942,Q302026
9780316123402,Q302026
9780671741037,Q4359794
0671741039,Q4359794
9781399617253,Q41077597
9780380751419,Q7679827
9780877958130,Q7679827
0380751410,Q7679827
0877958130,Q7679827
9780451457639,Q860034
0451457633,Q860034
9780553232059,Q7691141
0553232053,Q7691141
0689315953,Q2261855
9780689315954,Q2261855
9780575083332,Q7701574
9780061050923,Q7701574
9780575068544,Q7701574
006105092X,Q7701574
057506854X,Q7701574
9780575084933,Q7702704
9780441018666,Q7702704
9780575077188,Q7702704
0575084936,Q7702704
0063002892,Q109942843
9780063002890,Q109942843
9781597800440,Q901913
9781841491554,Q901913
1597800449,Q901913
1841491551,Q901913
9780440418566,Q129929
9780439993586,Q129929
0440418569,Q129929
043999358X,Q129929
9780765309419,Q7713709
0765309416,Q7713709
9780441004010,Q128324
9780441023806,Q128324
0441004016,Q128324
0441023800,Q128324
9780765303301,Q7714290
0765303302,Q7714290
9781597804875,Q44391758
9780312931995,Q7718935
0312931999,Q7718935
9780879975876,Q600821
0879975873,Q600821
9780684125909,Q1132953
0684125900,Q1132953
0307455793,Q19363462
9780307455796,Q19363462
9780765378385,Q63965925
0330347586,Q3221351
9780330347587,Q3221351
9781857237306,Q3822080
1857237307,Q3822080
9780575088979,Q18205890
9780765329516,Q18205890
9780312050023,Q7722439
9780044403937,Q7722439
031205002X,Q7722439
0044403933,Q7722439
9780812579925,Q2947797
9780312875626,Q2947797
9780312873844,Q1099716
0312873840,Q1099716
0230741916,Q3520291
0345497511,Q3520291
1405000171,Q3520291
9780345497512,Q3520291
9781405000178,Q3520291
9780230741911,Q3520291
0356512673,Q95075560
9780356512679,Q95075560
9780765309303,Q3066138
0765309300,Q3066138
0671413708,Q3209610
9780671413705,Q3209610
9781597802277,Q44391460
9780345408563,Q7726654
034540856X,Q7726654
9780553051292,Q7726969
0553051296,Q7726969
0399114815,Q3231611
9780399114816,Q3231611
9780060733353,Q4424499
9780060523862,Q4424499
0060523867,Q4424499
9780345312242,Q7728249
0345312244,Q7728249
0380979012,Q2665745
9780380979011,Q2665745
9780312866242,Q7728917
0312866240,Q7728917
9780399120312,Q3063449
0399120319,Q3063449
9781784971588,Q607276
9780670260775,Q466790
0670260770,Q466790
9781616142049,Q1706316
1616142049,Q1706316
9780345501172,Q44900825
9780140270372,Q543562
9780553096095,Q543562
014027037X,Q543562
0553096095,Q543562
9780553294613,Q466103
9780575047624,Q466103
0575047623,Q466103
9780061054884,Q467720
9780060125639,Q467720
0060125632,Q467720
9780671417765,Q1189364
0671417762,Q1189364
0345368940,Q3231919
9780345368942,Q3231919
9781250269010,Q7730855
9780671475529,Q7730855
1250269016,Q7730855
0671475525,Q7730855
0553274813,Q3823380
9780553274813,Q3823380
9780819563361,Q2441281
9780593160022,Q466196
0593160029,Q466196
0553382918,Q12737230
9780553382914,Q12737230
9781597802932,Q44391610
9781841493497,Q7732767
0879974982,Q3228178
9780879974985,Q3228178
9780312866181,Q7733416
0312866186,Q7733416
0807062995,Q3202654
9780575094994,Q3202654
9780807062999,Q3202654
9780316229296,Q25217632
9780312930219,Q7734817
0312930216,Q7734817
0575088923,Q11859870
9780575088924,Q11859870
9781616962524,Q62604562
9780356511238,Q100330025
9780765392107,Q100330025
9781473647671,Q106259289
9780553072617,Q1219119
9780575051690,Q1219119
0575051698,Q1219119
0575049065,Q3222682
9780575049062,Q3222682
9780765365682,Q19364463
9780385027014,Q389750
038502701X,Q389750
9780345310958,Q7736949
0345310950,Q7736949
9780312848705,Q1154138
0312848706,Q1154138
9780886776916,Q7737067
0886776910,Q7737067
0062110837,Q16994283
9780062110831,Q16994283
9780060530921,Q1168659
0060530928,Q1168659
9780879971892,Q3203913
0879971894,Q3203913
9780316043922,Q3231338
9780356501499,Q7741197
9780356501505,Q7741197
0345312708,Q3521397
9780345312709,Q3521397
9780571104444,Q1623320
0571104444,Q1623320
9780380720989,Q3822355
9780688131746,Q3822355
0380720981,Q3822355
0688131743,Q3822355
9780020381204,Q3204648
9780575070523,Q3204648
0020381204,Q3204648
0575070528,Q3204648
1250827515,Q127162257
9781250827517,Q127162257
9780356500768,Q7744372
9780765308504,Q7744389
0765308509,Q7744389
9780316043946,Q21953042
9780991354672,Q105491858
9780765316974,Q7745634
9780312860448,Q7745810
0312860447,Q7745810
9780060512743,Q132062
9781473234178,Q132062
9781857989519,Q132062
9780380013203,Q132062
9780684125299,Q132062
9781473225947,Q2008211
9780671640941,Q589959
0671640941,Q589959
9780575076945,Q1608505
9780575079755,Q1608505
9780553804676,Q1608505
0575079754,Q1608505
0553804677,Q1608505
9780765311320,Q7747225
0765311321,Q7747225
1481447971,Q62113879
1481447963,Q62113879
9781481447973,Q62113879
9781481447966,Q62113879
9780857668233,Q62113879
9780991354665,Q105476388
0399123814,Q3063803
9780399123818,Q3063803
9780345234469,Q7750537
0345234464,Q7750537
9780312890766,Q7751049
0312890761,Q7751049
1645660079,Q109302531
9781645660071,Q109302531
9780765344557,Q7751615
0765344556,Q7751615
9780671559588,Q7752150
0671559583,Q7752150
0671567659,Q3210153
9780671567651,Q3210153
9781931520034,Q7752464
1931520038,Q7752464
9781841496481,Q7754103
9780316229265,Q30337352
0062255657,Q14548336
9780062272348,Q14548336
9780062255655,Q14548336
9780151006847,Q717326
0151006849,Q717326
9780345504968,Q1199882
9780553545920,Q7756730
9781101619872,Q7756730
9780698170704,Q7756730
9780670921560,Q7756730
9780241961001,Q7756730
9780425276235,Q7756730
9780399158445,Q7756730
0553545922,Q7756730
1101619872,Q7756730
0698170709,Q7756730
0241961009,Q7756730
0425276236,Q7756730
0399158448,Q7756730
9781857231465,Q467139
9780333471104,Q467139
1857231465,Q467139
0333471105,Q467139
9780008239848,Q56491386
9780062662590,Q56491386
9780062662569,Q56491386
9780553051070,Q467225
9780553239928,Q7757993
0553239929,Q7757993
9780575082182,Q3522305
9780575077164,Q3522305
0575077166,Q3522305
9780671719241,Q944991
0671719246,Q944991
9780553050950,Q7758618
0553050958,Q7758618
0312890621,Q3412968
9780312890629,Q3412968
9780765367662,Q6303649
9780575088887,Q6303649
0765367661,Q6303649
0575088885,Q6303649
9780575083554,Q7759106
9780575079335,Q7759106
9781781167441,Q7759446
9781429944915,Q7759446
9780765329103,Q7759446
1429944919,Q7759446
0765329107,Q7759446
9780356507026,Q69566723
9780345340962,Q4340237
0345340965,Q4340237
0932096034,Q2738255
9780030213762,Q2738255
9780932096036,Q2738255
0345358619,Q2295267
9780345358615,Q2295267
9780307387899,Q1140295
9780307265432,Q1140295
9780330513005,Q1140295
0307387895,Q1140295
0307265439,Q1140295
0330513001,Q1140295
9780307490247,Q440784
9780553299496,Q440784
9780385184007,Q440784
0307490246,Q440784
9780446533027,Q7762126
0446533025,Q7762126
9780333781746,Q602216
9780345460011,Q602216
0333781740,Q602216
0345460014,Q602216
9780060105587,Q3227879
0060105585,Q3227879
9780312022822,Q897685
0312022824,Q897685
0340028769,Q2294155
9780340028766,Q2294155
9781857988840,Q2294155
9781857239676,Q40860689
9780803777392,Q782075
0803777396,Q782075
9780345332196,Q472368
9780765317469,Q7765299
076531746X,Q7765299
0679451501,Q3224638
9780679451501,Q3224638
9780385199575,Q149552
9780385121682,Q149552
0385199570,Q149552
0385121687,Q149552
9780857666611,Q55653446
9780356508689,Q39058554
9781892391797,Q151550
9780441790555,Q151550
9780099463368,Q7767840
9780060523879,Q7767840
9781399725361,Q133842917
0151005672,Q2623688
9780151005673,Q2623688
0316421995,Q93552114
9780316421997,Q93552114
9780061053108,Q3062494
0061053104,Q3062494
0593149092,Q60786692
9780593149096,Q60786692
9780575127739,Q59537236
9780765377067,Q607112
9780156029438,Q1212645
9780399133145,Q471142
0399133143,Q471142
9780441007332,Q277911
0441007333,Q277911
0441004334,Q124022063
9780441004331,Q124022063
9780671440664,Q1138582
0671440667,Q1138582
9780671720148,Q3655248
0671720147,Q3655248
0425067572,Q2741407
0399127216,Q2741407
9780425067574,Q2741407
9780399127212,Q2741407
9780893661342,Q3235592
0893661341,Q3235592
9780345339768,Q7776103
0345339762,Q7776103
9780307455475,Q4352956
9780747585169,Q4352956
0307455475,Q4352956
9780441942015,Q3202109
0441942016,Q3202109
9780553109207,Q963586
0553109200,Q963586
9780007149827,Q603645
0007149824,Q603645
0441805574,Q15034311
9780441805570,Q15034311
9780879978570,Q1760447
0879978570,Q1760447
0575033363,Q3939312
9780575033368,Q3939312
0002257688,Q74378
0399111514,Q2274025
9780399111518,Q2274025
9780671253271,Q2894715
0671253271,Q2894715
9780061052590,Q779016
9780002254243,Q779016
0002254247,Q779016
9780399123269,Q4354440
0399123261,Q4354440
9780553587173,Q7810889
0399132678,Q2870228
9780399132674,Q2870228
0553099957,Q2719299
9780553099959,Q2719299
9780553378085,Q7820291
