openlibrary_id,work_qid
OL81653W,Q5472993
OL271163W,Q5406934
OL15692668W,Q5422666
OL11377554W,Q5450418
OL4001685W,Q5327095
OL3451720M,Q5482407
OL993504M,Q5368262
OL24283129M,Q5441171
OL17333499W,Q19363462
OL17062644W,Q17001721
OL17268007W,Q16961640
OL17062642W,Q17989172
OL34694892W,Q16932120
OL32667308M,Q19610145
OL28226956M,Q18393778
OL17078738W,Q17512402
OL17829905W,Q19902777
OL17202418W,Q20645702
OL16817571W,Q19874187
OL19912869W,Q20058615
OL17345493W,Q20992497
OL17357379W,Q29469803
OL25935301M,Q29469803
OL17842279W,Q30337352
OL19982983W,Q24255737
OL25034040W,Q27957817
OL17762236W,Q30608684
OL20734480W,Q29344605
OL19340214W,Q29344605
OL20048398W,Q29344605
OL17363125W,Q25217632
OL26883649M,Q30068660
OL17356061W,Q30608520
OL36312989M,Q30608520
OL35622W,Q23307323
OL19800093W,Q29649659
OL20474762W,Q21065522
OL81655W,Q3294970
OL8888729M,Q3294970
OL1960613W,Q6574423
OL12459174M,Q3203783
OL60942W,Q3176923
OL81649W,Q3294967
OL5725219W,Q1154138
OL81665W,Q3294969
OL81672W,Q3294969
OL19844145W,Q3823380
OL13693887W,Q3893138
OL15406914W,Q11681262
OL14914265W,Q18366291
OL17020W,Q19346391
OL1988273W,Q28946151
OL35613W,Q11864746
OL60612W,Q27763467
OL60607W,Q27765618
OL34528023M,Q27796013
OL1863611W,Q44414884
OL5731689W,Q44466585
OL22459092M,Q28966242
OL34528460M,Q27825200
OL34527861M,Q27791748
OL24478939W,Q19356859
OL19359160W,Q62604562
OL1960604W,Q99030036
OL4909556M,Q108305801
OL24723394M,Q75551719
OL4088382W,Q65129562
OL20825335W,Q97162038
OL108281W,Q64337559
OL9011401W,Q111992632
OL27172785W,Q122452567
OL27892978W,Q130036358
OL14871926W,Q122452538
OL515754W,Q122463813
OL14992176W,Q122452552
OL33402895W,Q123521600
OL805543W,Q122452543
OL15348427W,Q131375939
OL16637274W,Q131382204
OL20132759W,Q131382367
OL19982172W,Q131382290
OL17881901W,Q39058554
OL82536W,Q47598
OL19668212W,Q96379623
OL20127946W,Q95996827
OL28171187W,Q39058554
OL34644745M,Q41094135
OL82560W,Q46751
OL20732627W,Q96409420
