wikipedia_url,work_qid
https://en.wikipedia.org/wiki/Emergence_(Palmer_novel),Q5370535
https://en.wikipedia.org/wiki/The_Forever_War,Q5406934
https://en.wikipedia.org/wiki/Eye_of_Cat,Q5422666
https://en.wikipedia.org/wiki/Conqueror_(Baxter_novel),Q5162401
https://en.wikipedia.org/wiki/Code_of_the_Lifemaker,Q5140094
https://en.wikipedia.org/wiki/Earth_Made_of_Glass,Q5327095
https://en.wikipedia.org/wiki/Cosmonaut_Keep,Q5174346
https://en.wikipedia.org/wiki/Counting_Heads,Q5177140
https://en.wikipedia.org/wiki/Eyes_of_the_Calculor,Q5422835
https://en.wikipedia.org/wiki/Eater_(novel),Q5331267
https://en.wikipedia.org/wiki/Crystal_Singer,Q5191354
https://en.wikipedia.org/wiki/Dreaming_Metal,Q5306607
https://en.wikipedia.org/wiki/Eternity_Road_(novel),Q5402793
https://en.wikipedia.org/wiki/Elvissey,Q5368262
https://en.wikipedia.org/wiki/Corrupting_Dr._Nice,Q5173054
https://en.wikipedia.org/wiki/Chronic_City,Q5113944
https://en.wikipedia.org/wiki/Coyote_(novel),Q5180039
https://en.wikipedia.org/wiki/Exultant_(novel),Q5422501
https://en.wikipedia.org/wiki/Ha%27penny_(novel),Q5636343
https://en.wikipedia.org/wiki/Harpist_in_the_Wind,Q5663569
https://en.wikipedia.org/wiki/Finity%27s_End,Q5450418
https://en.wikipedia.org/wiki/Gardens_of_the_Sun,Q5522495
https://en.wikipedia.org/wiki/Fourth_Mansions,Q5476126
https://en.wikipedia.org/wiki/Heart_of_the_Comet,Q5692425
https://en.wikipedia.org/wiki/Fifty_Degrees_Below,Q5447634
https://en.wikipedia.org/wiki/Flood_(Baxter_novel),Q5460012
"https://en.wikipedia.org/wiki/Going,_Going,_Gone_(novel)",Q5577739
https://en.wikipedia.org/wiki/Hunter_of_Worlds,Q5944644
https://en.wikipedia.org/wiki/Fire_on_the_Mountain_(Bisson_novel),Q5451628
https://en.wikipedia.org/wiki/Halting_State,Q5643614
https://en.wikipedia.org/wiki/Hull_Zero_Three,Q5936015
https://en.wikipedia.org/wiki/How_to_Live_Safely_in_a_Science_Fictional_Universe,Q5918654
https://en.wikipedia.org/wiki/Ombria_in_Shadow,Q5488966
https://en.wikipedia.org/wiki/Forty_Signs_of_Rain,Q5472993
https://en.wikipedia.org/wiki/Firelord_(novel),Q5451887
https://en.wikipedia.org/wiki/Half_Past_Human,Q5641738
https://en.wikipedia.org/wiki/Feersum_Endjinn,Q5441458
