author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender
Q1193871,1996-03-01T00:00:00Z,383885.0,The Tranquillity Alternative,Allen Steele,Q124022063,1997,1,0,11,39.0,United States,male
Q1193871,2002-11-01T00:00:00Z,,Coyote,Allen Steele,Q5180039,2003,1,0,27,45.0,United States,male
Q121560210,2021-02-23T00:00:00Z,,Out Past the Stars,K B Wagers,Q131382881,2022,1,0,0,,,female
Q121899,2014-05-27T00:00:00Z,,Artemis Awakening,Jane Lindskold,Q131382290,2015,1,0,2,53.0,United States,female
Q123078,1956-01-01T00:00:00Z,2887127.0,Double Star,Robert A. Heinlein,Q945382,1956,0,1,0,49.0,United States,male
Q123078,1958-08-01T00:00:00Z,,Have Space Suit—Will Travel,Robert A. Heinlein,Q1213656,1959,1,0,0,52.0,United States,male
Q123078,1959-11-05T00:00:00Z,2534973.0,Starship Troopers,Robert A. Heinlein,Q492207,1960,0,1,1,53.0,United States,male
Q123078,1961-06-01T00:00:00Z,908211.0,Stranger in a Strange Land,Robert A. Heinlein,Q929821,1962,1,1,1,55.0,United States,male
Q123078,1966-01-01T00:00:00Z,1048525.0,The Moon Is a Harsh Mistress,Robert A. Heinlein,Q1410482,1966,2,1,2,59.0,United States,male
Q123078,1973-06-01T00:00:00Z,75443.0,Time Enough for Love,Robert A. Heinlein,Q2274025,1973,2,0,5,66.0,United States,male
Q123078,1980-07-12T00:00:00Z,1077659.0,The Number of the Beast,Robert A. Heinlein,Q2703133,1981,1,0,8,74.0,United States,male
Q123078,1982-04-01T00:00:00Z,,Friday,Robert A. Heinlein,Q1641639,1983,3,0,10,76.0,United States,male
Q123078,1984-09-01T00:00:00Z,924656.0,Job: A Comedy of Justice,Robert A. Heinlein,Q1010653,1984,2,0,12,77.0,United States,male
Q123078,1985-11-01T00:00:00Z,2270807.0,The Cat Who Walks Through Walls,Robert A. Heinlein,Q3221113,1986,1,0,14,79.0,United States,male
Q123078,1987-07-01T00:00:00Z,,To Sail Beyond the Sunset,Robert A. Heinlein,Q2870228,1988,1,0,15,81.0,United States,male
Q123078,2003-11-28T00:00:00Z,,"For Us, the Living",Robert A. Heinlein,Q2678988,2005,1,0,17,98.0,United States,male
Q123078,,,Glory Road,Robert A. Heinlein,Q2538455,1964,1,0,1,57.0,United States,male
Q123701317,2023-04-11T00:00:00Z,91580340.0,Some Desperate Glory,Emily Tesh,Q123300220,2024,1,1,1,,,female
Q126285210,2023-07-11T00:00:00Z,,The Saint of Bright Doors,Vajra Chandrasekera,Q125198708,2024,1,1,2,45.0,Sri Lanka,male
Q126477506,2024-05-07T00:00:00Z,,The Ministry of Time,Kaliane Bradley,Q131835778,2025,1,0,0,37.0,United Kingdom,female
Q1284085,1964-01-01T00:00:00Z,,Davy,Edgar Pangborn,Q3019177,1965,1,0,0,56.0,United States,male
Q1292432,1977-04-01T00:00:00Z,,Cirque,Terry Carr,Q122452524,1977,2,0,3,40.0,United States,male
Q130779,1984-03-01T00:00:00Z,,The Wild Shore,Kim Stanley Robinson,Q21558225,1984,2,0,6,32.0,United States,male
Q130779,1984-10-01T00:00:00Z,1963545.0,Icehenge,Kim Stanley Robinson,Q3233818,1985,1,0,11,33.0,United States,male
Q130779,1985-09-01T00:00:00Z,,The Memory of Whiteness,Kim Stanley Robinson,Q7750979,1986,1,0,18,34.0,United States,male
Q130779,1988-02-01T00:00:00Z,,The Gold Coast,Kim Stanley Robinson,Q80565519,1989,2,0,32,37.0,United States,male
Q130779,1990-09-01T00:00:00Z,2249131.0,Pacific Edge,Kim Stanley Robinson,Q27976114,1991,0,1,40,39.0,United States,male
Q130779,1992-09-01T00:00:00Z,40712.0,Red Mars,Kim Stanley Robinson,Q3294969,1993,2,1,46,41.0,United States,male
Q130779,1993-10-01T00:00:00Z,69059.0,Green Mars,Kim Stanley Robinson,Q3294970,1994,1,2,49,42.0,United States,male
Q130779,1996-06-01T00:00:00Z,40711.0,Blue Mars,Kim Stanley Robinson,Q3294967,1997,1,2,51,45.0,United States,male
Q130779,1997-01-01T00:00:00Z,,Antarctica,Kim Stanley Robinson,Q3459064,1998,1,0,51,46.0,United States,male
Q130779,2002-01-01T00:00:00Z,,The Years of Rice and Salt,Kim Stanley Robinson,Q963586,2003,1,1,57,51.0,United States,male
Q130779,2004-01-01T00:00:00Z,,Forty Signs of Rain,Kim Stanley Robinson,Q5472993,2005,1,0,59,53.0,United States,male
Q130779,2005-08-31T00:00:00Z,,Fifty Degrees Below,Kim Stanley Robinson,Q5447634,2006,1,0,60,54.0,United States,male
Q130779,2009-08-03T00:00:00Z,,Galileo's Dream,Kim Stanley Robinson,Q15987819,2010,2,0,61,58.0,United States,male
Q130779,2009-08-03T00:00:00Z,,Galileo's Dream,Kim Stanley Robinson,Q15987819,2010,2,0,61,58.0,United States,male
Q130779,2012-01-01T00:00:00Z,16785236.0,2312,Kim Stanley Robinson,Q4631472,2013,3,1,64,61.0,United States,male
Q130779,2012-01-01T00:00:00Z,16785236.0,2312,Kim Stanley Robinson,Q4631472,2013,3,1,64,61.0,United States,male
Q130779,2012-05-22T00:00:00Z,16785236.0,2312,Kim Stanley Robinson,Q4631472,2013,3,1,64,61.0,United States,male
Q130779,2012-05-22T00:00:00Z,16785236.0,2312,Kim Stanley Robinson,Q4631472,2013,3,1,64,61.0,United States,male
Q130779,2013-09-03T00:00:00Z,,Shaman,Kim Stanley Robinson,Q19895754,2014,2,0,66,62.0,United States,male
Q130779,2015-07-07T00:00:00Z,,Aurora,Kim Stanley Robinson,Q20856830,2016,2,0,67,64.0,United States,male
Q130779,2017-03-14T00:00:00Z,,New York 2140,Kim Stanley Robinson,Q29832584,2018,3,0,68,66.0,United States,male
Q130779,2018-10-23T00:00:00Z,,Red Moon,Kim Stanley Robinson,Q60741201,2019,1,0,70,67.0,United States,male
Q130779,2020-10-06T00:00:00Z,75844661.0,The Ministry for the Future,Kim Stanley Robinson,Q102036201,2021,1,0,72,69.0,United States,male
Q130779,,,Galileo's Dream,Kim Stanley Robinson,Q15987819,2010,2,0,61,58.0,United States,male
Q130779,,,Galileo's Dream,Kim Stanley Robinson,Q15987819,2010,2,0,61,58.0,United States,male
Q131350995,2005-03-01T00:00:00Z,,Tumbling After,Paul Witcover,Q131381618,2006,1,0,2,48.0,Switzerland,male
